,country_code,organization_name,region,income_group,year,total_gdp,total_gdp_million,gdp_variation
99,AFE,,Sin region,Agregados,1997,282187971546.187,282187.971546187,4.43287205542345
100,AFE,,Sin region,Agregados,1998,265816904660.638,265816.904660638,1.84600842808642
101,AFE,,Sin region,Agregados,1999,262174971957.794,262174.971957794,2.65228256199809
102,AFE,,Sin region,Agregados,2000,283928427609.579,283928.427609579,3.35397753939644
103,AFE,,Sin region,Agregados,2001,258821310851.571,258821.310851571,3.65322422774005
104,AFE,,Sin region,Agregados,2002,264872614492.351,264872.614492351,3.90525026694712
105,AFE,,Sin region,Agregados,2003,352662234006.59,352662.23400659004,3.0960448630498
106,AFE,,Sin region,Agregados,2004,438838435407.663,438838.435407663,5.50731493728995
107,AFE,,Sin region,Agregados,2005,512216548337.93,512216.54833793,6.11692445270944
108,AFE,,Sin region,Agregados,2006,575703116619.124,575703.1166191241,6.56131823677539
109,AFE,,Sin region,Agregados,2007,660804869868.707,660804.869868707,6.56877678509859
110,AFE,,Sin region,Agregados,2008,708095438324.809,708095.438324809,4.30248193382184
111,AFE,,Sin region,Agregados,2009,719071175011.08,719071.17501108,0.645423329221998
112,AFE,,Sin region,Agregados,2010,860332378206.453,860332.378206453,5.19713733939426
113,AFE,,Sin region,Agregados,2011,964180707358.463,964180.707358463,3.70019048397752
114,AFE,,Sin region,Agregados,2012,972573424415.211,972573.4244152111,0.838835773071978
115,AFE,,Sin region,Agregados,2013,983472863852.069,983472.863852069,4.22135834894081
116,AFE,,Sin region,Agregados,2014,1003768056233.73,1003768.0562337299,3.99063728773568
117,AFE,,Sin region,Agregados,2015,924522770394.565,924522.770394565,2.97642128006545
118,AFE,,Sin region,Agregados,2016,882721265524.166,882721.265524166,2.2240159213264
119,AFE,,Sin region,Agregados,2017,1021118730941.08,1021118.7309410799,2.54601999972806
120,AFE,,Sin region,Agregados,2018,1007240479573.39,1007240.47957339,2.51079708375825
121,AFE,,Sin region,Agregados,2019,1001017049660.46,1001017.04966046,2.07847301284343
122,AFE,,Sin region,Agregados,2020,927484450967.307,927484.450967307,-2.90048975907105
123,AFE,,Sin region,Agregados,2021,1080711605709.63,1080711.60570963,4.29339543574787
186,AFW,,Sin region,Agregados,1960,10404135069.15,10404.13506915,0.0
187,AFW,,Sin region,Agregados,1961,11127894641.0191,11127.8946410191,1.83505619431456
188,AFW,,Sin region,Agregados,1962,11943187848.3043,11943.1878483043,3.77289812252096
189,AFW,,Sin region,Agregados,1963,12676330764.6917,12676.3307646917,7.28298546966617
190,AFW,,Sin region,Agregados,1964,13838369295.2313,13838.3692952313,5.39270548179638
191,AFW,,Sin region,Agregados,1965,14862225759.9135,14862.2257599135,4.05658844996837
192,AFW,,Sin region,Agregados,1966,15832591204.0611,15832.5912040611,-1.8072829612082
193,AFW,,Sin region,Agregados,1967,14426038229.7748,14426.0382297748,-9.5959247971883
194,AFW,,Sin region,Agregados,1968,14880349280.3199,14880.3492803199,1.44594076785363
195,AFW,,Sin region,Agregados,1969,16882092549.4749,16882.0925494749,15.5538145537379
196,AFW,,Sin region,Agregados,1970,23504605475.6438,23504.6054756438,17.9632090279498
197,AFW,,Sin region,Agregados,1971,20832817218.3939,20832.817218393902,10.8352202021188
198,AFW,,Sin region,Agregados,1972,25264953765.762,25264.953765762002,3.14780183499343
199,AFW,,Sin region,Agregados,1973,31273819025.9673,31273.8190259673,4.22326072889845
200,AFW,,Sin region,Agregados,1974,44214484996.8734,44214.4849968734,10.25752935546
201,AFW,,Sin region,Agregados,1975,51444731784.0348,51444.7317840348,-2.19034079550866
202,AFW,,Sin region,Agregados,1976,62129390374.9031,62129.3903749031,8.58249841544844
203,AFW,,Sin region,Agregados,1977,65315008068.1014,65315.0080681014,4.73687845627437
204,AFW,,Sin region,Agregados,1978,71199708191.9944,71199.7081919944,-2.22410919714986
205,AFW,,Sin region,Agregados,1979,88628401268.6832,88628.4012686832,5.24316493925134
206,AFW,,Sin region,Agregados,1980,112031308653.857,112031.30865385699,2.01353152592962
207,AFW,,Sin region,Agregados,1981,211003492000.188,211003.49200018798,-6.98441988332385
208,AFW,,Sin region,Agregados,1982,187163726212.803,187163.726212803,-3.37725038199412
209,AFW,,Sin region,Agregados,1983,138115204947.351,138115.204947351,-6.5671544616236
210,AFW,,Sin region,Agregados,1984,114262670303.605,114262.670303605,0.547398608744871
211,AFW,,Sin region,Agregados,1985,116507282627.195,116507.282627195,5.55416320724247
212,AFW,,Sin region,Agregados,1986,107497542341.418,107497.542341418,1.40507596518671
213,AFW,,Sin region,Agregados,1987,110321770123.657,110321.770123657,1.46046198150904
214,AFW,,Sin region,Agregados,1988,108943464548.552,108943.464548552,4.86172708222065
215,AFW,,Sin region,Agregados,1989,101768783075.2,101768.7830752,2.26958153709826
216,AFW,,Sin region,Agregados,1990,121802125421.925,121802.125421925,6.60019863168102
217,AFW,,Sin region,Agregados,1991,117457060715.759,117457.060715759,1.1153546756032
218,AFW,,Sin region,Agregados,1992,118282253152.158,118282.25315215801,2.70839255083868
219,AFW,,Sin region,Agregados,1993,98826369836.0256,98826.36983602561,-1.16710555302046
220,AFW,,Sin region,Agregados,1994,86281743752.6536,86281.7437526536,-0.311087673602302
221,AFW,,Sin region,Agregados,1995,108221319966.439,108221.319966439,1.91222685294845
222,AFW,,Sin region,Agregados,1996,125763022907.643,125763.02290764301,4.62589783505211
223,AFW,,Sin region,Agregados,1997,127063922266.802,127063.92226680201,4.225267632542
224,AFW,,Sin region,Agregados,1998,130106822586.563,130106.82258656301,3.49990532753075
225,AFW,,Sin region,Agregados,1999,137521000392.092,137521.000392092,1.41507494573241
226,AFW,,Sin region,Agregados,2000,140410259302.465,140410.25930246498,3.74366661670238
227,AFW,,Sin region,Agregados,2001,146779813046.927,146779.813046927,5.21766281315892
228,AFW,,Sin region,Agregados,2002,176605835909.847,176605.835909847,9.93814877322885
229,AFW,,Sin region,Agregados,2003,204470860701.304,204470.860701304,5.53211258339867
230,AFW,,Sin region,Agregados,2004,253471913925.27,253471.91392527,8.02283752807899
231,AFW,,Sin region,Agregados,2005,310094246800.233,310094.24680023297,5.85289191452389
232,AFW,,Sin region,Agregados,2006,395655858340.007,395655.858340007,5.37976547612746
233,AFW,,Sin region,Agregados,2007,464425613626.874,464425.61362687405,5.53913084124633
234,AFW,,Sin region,Agregados,2008,566479463919.374,566479.463919374,6.2830286583321
235,AFW,,Sin region,Agregados,2009,507029514633.981,507029.51463398105,6.28838134284742
236,AFW,,Sin region,Agregados,2010,597129288864.775,597129.288864775,6.96542660958634
237,AFW,,Sin region,Agregados,2011,680455985950.414,680455.985950414,4.85204840851215
238,AFW,,Sin region,Agregados,2012,736039861278.13,736039.86127813,5.13558372219187
239,AFW,,Sin region,Agregados,2013,832216894624.603,832216.894624603,6.10875795162458
240,AFW,,Sin region,Agregados,2014,892497905712.366,892497.905712366,5.93044966738307
241,AFW,,Sin region,Agregados,2015,766957955078.105,766957.955078105,2.74513738741805
242,AFW,,Sin region,Agregados,2016,690545418736.157,690545.418736157,0.113686988857168
243,AFW,,Sin region,Agregados,2017,683748014299.694,683748.014299694,2.30562349545798
244,AFW,,Sin region,Agregados,2018,766359667820.703,766359.667820703,2.94617459918985
245,AFW,,Sin region,Agregados,2019,794719102944.191,794719.1029441911,3.19087886773973
246,AFW,,Sin region,Agregados,2020,784799699387.377,784799.6993873769,-0.90038189459645
247,AFW,,Sin region,Agregados,2021,840187283626.448,840187.283626448,3.9653985572551
434,ARB,El mundo árabe,Sin region,Agregados,1960,0.0,0.0,0.0
435,ARB,El mundo árabe,Sin region,Agregados,1961,0.0,0.0,0.0
436,ARB,El mundo árabe,Sin region,Agregados,1962,0.0,0.0,0.0
437,ARB,El mundo árabe,Sin region,Agregados,1963,0.0,0.0,0.0
438,ARB,El mundo árabe,Sin region,Agregados,1964,0.0,0.0,0.0
439,ARB,El mundo árabe,Sin region,Agregados,1965,0.0,0.0,0.0
440,ARB,El mundo árabe,Sin region,Agregados,1966,0.0,0.0,0.0
441,ARB,El mundo árabe,Sin region,Agregados,1967,0.0,0.0,0.0
442,ARB,El mundo árabe,Sin region,Agregados,1968,35019727479.5889,35019.727479588895,0.0
443,ARB,El mundo árabe,Sin region,Agregados,1969,38162991696.2354,38162.9916962354,0.0
444,ARB,El mundo árabe,Sin region,Agregados,1970,43149825508.2097,43149.8255082097,0.0
445,ARB,El mundo árabe,Sin region,Agregados,1971,49841484048.1358,49841.484048135804,0.0
446,ARB,El mundo árabe,Sin region,Agregados,1972,59381286567.0826,59381.28656708261,0.0
447,ARB,El mundo árabe,Sin region,Agregados,1973,75329791104.2359,75329.7911042359,0.0
448,ARB,El mundo árabe,Sin region,Agregados,1974,142815696156.088,142815.696156088,0.0
449,ARB,El mundo árabe,Sin region,Agregados,1975,157909172311.575,157909.172311575,0.0
450,ARB,El mundo árabe,Sin region,Agregados,1976,196558555571.62,196558.55557162,15.7611519802198
451,ARB,El mundo árabe,Sin region,Agregados,1977,226977749615.668,226977.749615668,8.13033615454832
452,ARB,El mundo árabe,Sin region,Agregados,1978,249110012225.68,249110.01222568,-0.600348986375622
453,ARB,El mundo árabe,Sin region,Agregados,1979,338624721239.323,338624.721239323,11.0267204061475
454,ARB,El mundo árabe,Sin region,Agregados,1980,459809712578.819,459809.71257881896,9.08164524341768
455,ARB,El mundo árabe,Sin region,Agregados,1981,474023173431.203,474023.173431203,3.39967972144602
456,ARB,El mundo árabe,Sin region,Agregados,1982,444130483039.962,444130.48303996195,-8.33988752576234
457,ARB,El mundo árabe,Sin region,Agregados,1983,418461865357.877,418461.865357877,-6.234926317511
458,ARB,El mundo árabe,Sin region,Agregados,1984,425898338751.282,425898.33875128196,1.30570113351224
459,ARB,El mundo árabe,Sin region,Agregados,1985,419499441919.467,419499.441919467,-2.05249498934292
460,ARB,El mundo árabe,Sin region,Agregados,1986,406984212652.935,406984.212652935,4.44047992481762
461,ARB,El mundo árabe,Sin region,Agregados,1987,440606191122.674,440606.19112267403,-0.0732726618805373
462,ARB,El mundo árabe,Sin region,Agregados,1988,424900387791.484,424900.387791484,5.76797266153906
463,ARB,El mundo árabe,Sin region,Agregados,1989,455822972042.688,455822.972042688,2.19238793492629
464,ARB,El mundo árabe,Sin region,Agregados,1990,644066401761.553,644066.401761553,12.1110352380002
465,ARB,El mundo árabe,Sin region,Agregados,1991,471524008317.293,471524.008317293,2.39169313510104
466,ARB,El mundo árabe,Sin region,Agregados,1992,473812923870.034,473812.923870034,5.19969458680261
467,ARB,El mundo árabe,Sin region,Agregados,1993,482766656235.824,482766.656235824,3.16707790739919
468,ARB,El mundo árabe,Sin region,Agregados,1994,507766644052.713,507766.644052713,3.2807571998023
469,ARB,El mundo árabe,Sin region,Agregados,1995,556057972649.453,556057.972649453,3.06141651452747
470,ARB,El mundo árabe,Sin region,Agregados,1996,614192593286.926,614192.593286926,4.6966102670831
471,ARB,El mundo árabe,Sin region,Agregados,1997,662317161233.183,662317.161233183,4.75865300339402
472,ARB,El mundo árabe,Sin region,Agregados,1998,644494323434.483,644494.323434483,5.11663252823507
473,ARB,El mundo árabe,Sin region,Agregados,1999,712836792132.533,712836.7921325329,1.83673739797013
474,ARB,El mundo árabe,Sin region,Agregados,2000,816019292861.184,816019.292861184,6.56567529597731
475,ARB,El mundo árabe,Sin region,Agregados,2001,798505436109.015,798505.436109015,1.70044493153168
476,ARB,El mundo árabe,Sin region,Agregados,2002,803122797644.81,803122.79764481,0.677285279278706
477,ARB,El mundo árabe,Sin region,Agregados,2003,887852467421.85,887852.46742185,4.87514389313472
478,ARB,El mundo árabe,Sin region,Agregados,2004,1056246691798.46,1056246.69179846,8.8671323511855
479,ARB,El mundo árabe,Sin region,Agregados,2005,1297892893576.4,1297892.8935764,5.52311681305511
480,ARB,El mundo árabe,Sin region,Agregados,2006,1538290265813.1,1538290.2658131002,6.08734030388736
481,ARB,El mundo árabe,Sin region,Agregados,2007,1790035967811.6,1790035.9678116,4.57057386818454
482,ARB,El mundo árabe,Sin region,Agregados,2008,2253731073493.57,2253731.0734935696,5.55553311197971
483,ARB,El mundo árabe,Sin region,Agregados,2009,1978796922179.86,1978796.92217986,0.388333540924862
484,ARB,El mundo árabe,Sin region,Agregados,2010,2327000352027.74,2327000.3520277403,4.74781067340899
485,ARB,El mundo árabe,Sin region,Agregados,2011,2541860324280.98,2541860.32428098,3.24751365804006
486,ARB,El mundo árabe,Sin region,Agregados,2012,2787171487379.26,2787171.48737926,5.1478332644664
487,ARB,El mundo árabe,Sin region,Agregados,2013,2843529425181.9,2843529.4251818997,2.58579735827979
488,ARB,El mundo árabe,Sin region,Agregados,2014,2895457837893.28,2895457.8378932797,2.935539268707
489,ARB,El mundo árabe,Sin region,Agregados,2015,2538925219911.17,2538925.2199111697,3.29406818119726
490,ARB,El mundo árabe,Sin region,Agregados,2016,2516485492775.5,2516485.4927755,3.51825229452642
491,ARB,El mundo árabe,Sin region,Agregados,2017,2598094271212.95,2598094.2712129503,1.05633263763067
492,ARB,El mundo árabe,Sin region,Agregados,2018,2800428454533.12,2800428.45453312,2.38392478441651
493,ARB,El mundo árabe,Sin region,Agregados,2019,2818502435493.25,2818502.43549325,1.25627861939839
494,ARB,El mundo árabe,Sin region,Agregados,2020,2490805099290.14,2490805.09929014,-4.84477433651568
495,ARB,El mundo árabe,Sin region,Agregados,2021,2860723497699.23,2860723.49769923,3.60681652900017
2232,CEB,Europa Central y del Báltico,Sin region,Agregados,1960,0.0,0.0,0.0
2233,CEB,Europa Central y del Báltico,Sin region,Agregados,1961,0.0,0.0,0.0
2234,CEB,Europa Central y del Báltico,Sin region,Agregados,1962,0.0,0.0,0.0
2235,CEB,Europa Central y del Báltico,Sin region,Agregados,1963,0.0,0.0,0.0
2236,CEB,Europa Central y del Báltico,Sin region,Agregados,1964,0.0,0.0,0.0
2237,CEB,Europa Central y del Báltico,Sin region,Agregados,1965,0.0,0.0,0.0
2238,CEB,Europa Central y del Báltico,Sin region,Agregados,1966,0.0,0.0,0.0
2239,CEB,Europa Central y del Báltico,Sin region,Agregados,1967,0.0,0.0,0.0
2240,CEB,Europa Central y del Báltico,Sin region,Agregados,1968,0.0,0.0,0.0
2241,CEB,Europa Central y del Báltico,Sin region,Agregados,1969,0.0,0.0,0.0
2242,CEB,Europa Central y del Báltico,Sin region,Agregados,1970,0.0,0.0,0.0
2243,CEB,Europa Central y del Báltico,Sin region,Agregados,1971,0.0,0.0,0.0
2244,CEB,Europa Central y del Báltico,Sin region,Agregados,1972,0.0,0.0,0.0
2245,CEB,Europa Central y del Báltico,Sin region,Agregados,1973,0.0,0.0,0.0
2246,CEB,Europa Central y del Báltico,Sin region,Agregados,1974,0.0,0.0,0.0
2247,CEB,Europa Central y del Báltico,Sin region,Agregados,1975,0.0,0.0,0.0
2248,CEB,Europa Central y del Báltico,Sin region,Agregados,1976,0.0,0.0,0.0
2249,CEB,Europa Central y del Báltico,Sin region,Agregados,1977,0.0,0.0,0.0
2250,CEB,Europa Central y del Báltico,Sin region,Agregados,1978,0.0,0.0,0.0
2251,CEB,Europa Central y del Báltico,Sin region,Agregados,1979,0.0,0.0,0.0
2252,CEB,Europa Central y del Báltico,Sin region,Agregados,1980,0.0,0.0,0.0
2253,CEB,Europa Central y del Báltico,Sin region,Agregados,1981,0.0,0.0,0.0
2254,CEB,Europa Central y del Báltico,Sin region,Agregados,1982,0.0,0.0,0.0
2255,CEB,Europa Central y del Báltico,Sin region,Agregados,1983,0.0,0.0,0.0
2256,CEB,Europa Central y del Báltico,Sin region,Agregados,1984,0.0,0.0,0.0
2257,CEB,Europa Central y del Báltico,Sin region,Agregados,1985,0.0,0.0,0.0
2258,CEB,Europa Central y del Báltico,Sin region,Agregados,1986,0.0,0.0,0.0
2259,CEB,Europa Central y del Báltico,Sin region,Agregados,1987,0.0,0.0,0.0
2260,CEB,Europa Central y del Báltico,Sin region,Agregados,1988,0.0,0.0,0.0
2261,CEB,Europa Central y del Báltico,Sin region,Agregados,1989,0.0,0.0,0.0
2262,CEB,Europa Central y del Báltico,Sin region,Agregados,1990,256288070611.516,256288.07061151598,0.0
2263,CEB,Europa Central y del Báltico,Sin region,Agregados,1991,242683324226.932,242683.32422693202,-9.77095133662672
2264,CEB,Europa Central y del Báltico,Sin region,Agregados,1992,259918752603.516,259918.75260351598,-1.95960030046162
2265,CEB,Europa Central y del Báltico,Sin region,Agregados,1993,274064664920.23,274064.66492023,1.54623897331328
2266,CEB,Europa Central y del Báltico,Sin region,Agregados,1994,310888974011.872,310888.974011872,4.10506383035194
2267,CEB,Europa Central y del Báltico,Sin region,Agregados,1995,393279572380.394,393279.572380394,5.71250996514408
2268,CEB,Europa Central y del Báltico,Sin region,Agregados,1996,416051955747.426,416051.955747426,4.55604100508691
2269,CEB,Europa Central y del Báltico,Sin region,Agregados,1997,410025564378.611,410025.56437861104,2.31286369034854
2270,CEB,Europa Central y del Báltico,Sin region,Agregados,1998,448739085358.769,448739.085358769,2.6842496681323
2271,CEB,Europa Central y del Báltico,Sin region,Agregados,1999,434923909421.912,434923.909421912,1.91405167290759
2272,CEB,Europa Central y del Báltico,Sin region,Agregados,2000,428275378877.533,428275.378877533,3.95263173140808
2273,CEB,Europa Central y del Báltico,Sin region,Agregados,2001,468810933850.137,468810.93385013705,3.07834508823652
2274,CEB,Europa Central y del Báltico,Sin region,Agregados,2002,528403662973.913,528403.662973913,3.61094871397154
2275,CEB,Europa Central y del Báltico,Sin region,Agregados,2003,634159571510.152,634159.571510152,4.08458548495838
2276,CEB,Europa Central y del Báltico,Sin region,Agregados,2004,763250806102.138,763250.8061021379,5.83941345665886
2277,CEB,Europa Central y del Báltico,Sin region,Agregados,2005,886879187178.938,886879.187178938,5.0170657295082
2278,CEB,Europa Central y del Báltico,Sin region,Agregados,2006,1002944446030.06,1002944.4460300601,6.58610806219578
2279,CEB,Europa Central y del Báltico,Sin region,Agregados,2007,1266891740290.63,1266891.74029063,6.43014360271397
2280,CEB,Europa Central y del Báltico,Sin region,Agregados,2008,1533142323271.79,1533142.32327179,3.9358440926343
2281,CEB,Europa Central y del Báltico,Sin region,Agregados,2009,1291091757413.16,1291091.7574131598,-3.50328604098792
2282,CEB,Europa Central y del Báltico,Sin region,Agregados,2010,1318304829758.37,1318304.82975837,1.43727701689727
2283,CEB,Europa Central y del Báltico,Sin region,Agregados,2011,1455318278974.07,1455318.27897407,3.5154588574907
2284,CEB,Europa Central y del Báltico,Sin region,Agregados,2012,1359030050594.38,1359030.05059438,0.826293465732419
2285,CEB,Europa Central y del Báltico,Sin region,Agregados,2013,1416961929448.89,1416961.9294488898,0.663807758808758
2286,CEB,Europa Central y del Báltico,Sin region,Agregados,2014,1462687483688.63,1462687.48368863,3.21502365997956
2287,CEB,Europa Central y del Báltico,Sin region,Agregados,2015,1292823477883.11,1292823.47788311,4.02736719964865
2288,CEB,Europa Central y del Báltico,Sin region,Agregados,2016,1316465869392.3,1316465.8693923,2.74968075995933
2289,CEB,Europa Central y del Báltico,Sin region,Agregados,2017,1461462997744.97,1461462.99774497,5.10492030799617
2290,CEB,Europa Central y del Báltico,Sin region,Agregados,2018,1649466156164.77,1649466.15616477,4.94020779502178
2291,CEB,Europa Central y del Báltico,Sin region,Agregados,2019,1675083820501.22,1675083.82050122,3.93976711649834
2292,CEB,Europa Central y del Báltico,Sin region,Agregados,2020,1664902507747.84,1664902.5077478401,-3.39375886564594
2293,CEB,Europa Central y del Báltico,Sin region,Agregados,2021,1901935313869.67,1901935.31386967,6.14743718485194
2356,CHI,Islas del Canal,Sin region,Ingreso alto,1960,0.0,0.0,0.0
2357,CHI,Islas del Canal,Sin region,Ingreso alto,1961,0.0,0.0,0.0
2358,CHI,Islas del Canal,Sin region,Ingreso alto,1962,0.0,0.0,0.0
2359,CHI,Islas del Canal,Sin region,Ingreso alto,1963,0.0,0.0,0.0
2360,CHI,Islas del Canal,Sin region,Ingreso alto,1964,0.0,0.0,0.0
2361,CHI,Islas del Canal,Sin region,Ingreso alto,1965,0.0,0.0,0.0
2362,CHI,Islas del Canal,Sin region,Ingreso alto,1966,0.0,0.0,0.0
2363,CHI,Islas del Canal,Sin region,Ingreso alto,1967,0.0,0.0,0.0
2364,CHI,Islas del Canal,Sin region,Ingreso alto,1968,0.0,0.0,0.0
2365,CHI,Islas del Canal,Sin region,Ingreso alto,1969,0.0,0.0,0.0
2366,CHI,Islas del Canal,Sin region,Ingreso alto,1970,0.0,0.0,0.0
2367,CHI,Islas del Canal,Sin region,Ingreso alto,1971,0.0,0.0,0.0
2368,CHI,Islas del Canal,Sin region,Ingreso alto,1972,0.0,0.0,0.0
2369,CHI,Islas del Canal,Sin region,Ingreso alto,1973,0.0,0.0,0.0
2370,CHI,Islas del Canal,Sin region,Ingreso alto,1974,0.0,0.0,0.0
2371,CHI,Islas del Canal,Sin region,Ingreso alto,1975,0.0,0.0,0.0
2372,CHI,Islas del Canal,Sin region,Ingreso alto,1976,0.0,0.0,0.0
2373,CHI,Islas del Canal,Sin region,Ingreso alto,1977,0.0,0.0,0.0
2374,CHI,Islas del Canal,Sin region,Ingreso alto,1978,0.0,0.0,0.0
2375,CHI,Islas del Canal,Sin region,Ingreso alto,1979,0.0,0.0,0.0
2376,CHI,Islas del Canal,Sin region,Ingreso alto,1980,0.0,0.0,0.0
2377,CHI,Islas del Canal,Sin region,Ingreso alto,1981,0.0,0.0,0.0
2378,CHI,Islas del Canal,Sin region,Ingreso alto,1982,0.0,0.0,0.0
2379,CHI,Islas del Canal,Sin region,Ingreso alto,1983,0.0,0.0,0.0
2380,CHI,Islas del Canal,Sin region,Ingreso alto,1984,0.0,0.0,0.0
2381,CHI,Islas del Canal,Sin region,Ingreso alto,1985,0.0,0.0,0.0
2382,CHI,Islas del Canal,Sin region,Ingreso alto,1986,0.0,0.0,0.0
2383,CHI,Islas del Canal,Sin region,Ingreso alto,1987,0.0,0.0,0.0
2384,CHI,Islas del Canal,Sin region,Ingreso alto,1988,0.0,0.0,0.0
2385,CHI,Islas del Canal,Sin region,Ingreso alto,1989,0.0,0.0,0.0
2386,CHI,Islas del Canal,Sin region,Ingreso alto,1990,0.0,0.0,0.0
2387,CHI,Islas del Canal,Sin region,Ingreso alto,1991,0.0,0.0,0.0
2388,CHI,Islas del Canal,Sin region,Ingreso alto,1992,0.0,0.0,0.0
2389,CHI,Islas del Canal,Sin region,Ingreso alto,1993,0.0,0.0,0.0
2390,CHI,Islas del Canal,Sin region,Ingreso alto,1994,0.0,0.0,0.0
2391,CHI,Islas del Canal,Sin region,Ingreso alto,1995,0.0,0.0,0.0
2392,CHI,Islas del Canal,Sin region,Ingreso alto,1996,0.0,0.0,0.0
2393,CHI,Islas del Canal,Sin region,Ingreso alto,1997,0.0,0.0,0.0
2394,CHI,Islas del Canal,Sin region,Ingreso alto,1998,5945445051.30899,5945.44505130899,0.0
2395,CHI,Islas del Canal,Sin region,Ingreso alto,1999,6263177944.41707,6263.177944417071,3.77026425430725
2396,CHI,Islas del Canal,Sin region,Ingreso alto,2000,6439403014.0037,6439.4030140037,5.82664109661594
2397,CHI,Islas del Canal,Sin region,Ingreso alto,2001,6233310060.38969,6233.31006038969,-1.51296118654854
2398,CHI,Islas del Canal,Sin region,Ingreso alto,2002,6663436031.24708,6663.43603124708,-1.63220672035564
2399,CHI,Islas del Canal,Sin region,Ingreso alto,2003,7332574115.57254,7332.57411557254,-3.20215558152709
2400,CHI,Islas del Canal,Sin region,Ingreso alto,2004,8553956571.09378,8553.95657109378,0.224196560685314
2401,CHI,Islas del Canal,Sin region,Ingreso alto,2005,8827299477.20007,8827.29947720007,1.37773427825832
2402,CHI,Islas del Canal,Sin region,Ingreso alto,2006,9676410337.59329,9676.41033759329,4.88229980058024
2403,CHI,Islas del Canal,Sin region,Ingreso alto,2007,11515258634.0085,11515.2586340085,5.89832899245258
2404,CHI,Islas del Canal,Sin region,Ingreso alto,2008,0.0,0.0,0.0
2405,CHI,Islas del Canal,Sin region,Ingreso alto,2009,0.0,0.0,0.0
2406,CHI,Islas del Canal,Sin region,Ingreso alto,2010,0.0,0.0,0.0
2407,CHI,Islas del Canal,Sin region,Ingreso alto,2011,0.0,0.0,0.0
2408,CHI,Islas del Canal,Sin region,Ingreso alto,2012,0.0,0.0,0.0
2409,CHI,Islas del Canal,Sin region,Ingreso alto,2013,0.0,0.0,0.0
2410,CHI,Islas del Canal,Sin region,Ingreso alto,2014,0.0,0.0,0.0
